Repository;Datum;Views;Clones;Unique Views;Unique Clones
.github;2026-05-10;0;10;0;7
.github;2026-05-09;1;14;1;9
.github;2026-05-08;0;18;0;10
.github;2026-05-07;1;16;1;11
.github;2026-05-06;0;13;0;8
.github;2026-05-05;0;34;0;17
.github;2026-05-04;0;15;0;9
.github;2026-05-03;0;21;0;12
.github;2026-05-02;0;23;0;14
.github;2026-05-01;0;17;0;10
.github;2026-04-30;0;31;0;15
.github;2026-04-29;1;27;1;11
.github;2026-04-28;0;16;0;11
.github;2026-04-27;0;16;0;10
2024_CADS_Immersion_Best_Notebooks;2026-05-10;3;1;1;1
2024_CADS_Immersion_Best_Notebooks;2026-05-09;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-05-08;2;0;1;0
2024_CADS_Immersion_Best_Notebooks;2026-05-07;1;1;1;1
2024_CADS_Immersion_Best_Notebooks;2026-05-06;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-05-05;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-05-04;0;1;0;1
2024_CADS_Immersion_Best_Notebooks;2026-05-03;2;0;1;0
2024_CADS_Immersion_Best_Notebooks;2026-05-02;0;1;0;1
2024_CADS_Immersion_Best_Notebooks;2026-05-01;0;1;0;1
2024_CADS_Immersion_Best_Notebooks;2026-04-30;1;0;1;0
2024_CADS_Immersion_Best_Notebooks;2026-04-29;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-04-28;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-04-27;2;0;1;0
2025_CADS_Completion_Best_Notebooks;2026-05-10;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-05-09;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-05-08;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-05-07;1;1;1;1
2025_CADS_Completion_Best_Notebooks;2026-05-06;0;1;0;1
2025_CADS_Completion_Best_Notebooks;2026-05-05;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-05-04;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-05-03;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-05-02;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-05-01;0;1;0;1
2025_CADS_Completion_Best_Notebooks;2026-04-30;1;0;1;0
2025_CADS_Completion_Best_Notebooks;2026-04-29;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-04-28;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-04-27;0;0;0;0
2025_CADS_Immersion_Best_Notebooks;2026-05-11;0;0;0;0
2025_CADS_Immersion_Best_Notebooks;2026-05-10;0;0;0;0
2025_CADS_Immersion_Best_Notebooks;2026-05-09;0;0;0;0
2025_CADS_Immersion_Best_Notebooks;2026-05-08;3;0;1;0
2025_CADS_Immersion_Best_Notebooks;2026-05-07;0;2;0;2
2025_CADS_Immersion_Best_Notebooks;2026-05-06;0;0;0;0
2025_CADS_Immersion_Best_Notebooks;2026-05-05;3;0;2;0
2025_CADS_Immersion_Best_Notebooks;2026-05-04;9;0;3;0
2025_CADS_Immersion_Best_Notebooks;2026-05-03;18;0;2;0
2025_CADS_Immersion_Best_Notebooks;2026-05-02;3;0;1;0
2025_CADS_Immersion_Best_Notebooks;2026-05-01;0;2;0;2
2025_CADS_Immersion_Best_Notebooks;2026-04-30;1;0;1;0
2025_CADS_Immersion_Best_Notebooks;2026-04-29;12;0;3;0
2025_CADS_Immersion_Best_Notebooks;2026-04-28;0;0;0;0
2026_CADS_Completion_Best_Notebooks;2026-05-10;0;0;0;0
2026_CADS_Completion_Best_Notebooks;2026-05-09;0;0;0;0
2026_CADS_Completion_Best_Notebooks;2026-05-08;0;0;0;0
2026_CADS_Completion_Best_Notebooks;2026-05-07;16;1;4;1
2026_CADS_Completion_Best_Notebooks;2026-05-06;3;0;1;0
2026_CADS_Completion_Best_Notebooks;2026-05-05;1;0;1;0
2026_CADS_Completion_Best_Notebooks;2026-05-04;0;1;0;1
2026_CADS_Completion_Best_Notebooks;2026-05-03;0;0;0;0
2026_CADS_Completion_Best_Notebooks;2026-05-02;1;0;1;0
2026_CADS_Completion_Best_Notebooks;2026-05-01;0;2;0;2
2026_CADS_Completion_Best_Notebooks;2026-04-30;10;0;6;0
2026_CADS_Completion_Best_Notebooks;2026-04-29;2;0;2;0
2026_CADS_Completion_Best_Notebooks;2026-04-28;0;0;0;0
2026_CADS_Completion_Best_Notebooks;2026-04-27;0;0;0;0
ADS_Pool_Repository;2026-05-12;0;0;0;0
ADS_Pool_Repository;2026-05-11;0;0;0;0
ADS_Pool_Repository;2026-05-10;0;0;0;0
ADS_Pool_Repository;2026-05-09;0;0;0;0
ADS_Pool_Repository;2026-05-08;0;0;0;0
ADS_Pool_Repository;2026-05-07;0;0;0;0
ADS_Pool_Repository;2026-05-06;0;0;0;0
ADS_Pool_Repository;2026-05-05;0;0;0;0
ADS_Pool_Repository;2026-05-04;0;0;0;0
ADS_Pool_Repository;2026-05-03;0;0;0;0
ADS_Pool_Repository;2026-05-02;0;0;0;0
ADS_Pool_Repository;2026-05-01;0;0;0;0
ADS_Pool_Repository;2026-04-30;0;0;0;0
ADS_Pool_Repository;2026-04-29;0;0;0;0
ADS_Use_Cases;2026-05-10;0;0;0;0
ADS_Use_Cases;2026-05-09;0;0;0;0
ADS_Use_Cases;2026-05-08;0;0;0;0
ADS_Use_Cases;2026-05-07;0;2;0;2
ADS_Use_Cases;2026-05-06;0;0;0;0
ADS_Use_Cases;2026-05-05;0;0;0;0
ADS_Use_Cases;2026-05-04;0;0;0;0
ADS_Use_Cases;2026-05-03;0;0;0;0
ADS_Use_Cases;2026-05-02;0;0;0;0
ADS_Use_Cases;2026-05-01;0;1;0;1
ADS_Use_Cases;2026-04-30;1;0;1;0
ADS_Use_Cases;2026-04-29;0;1;0;1
ADS_Use_Cases;2026-04-28;0;1;0;1
ADS_Use_Cases;2026-04-27;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-10;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-09;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-08;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-07;1;1;1;1
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-06;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-05;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-04;0;1;0;1
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-03;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-02;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-01;0;1;0;1
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-30;1;0;1;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-29;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-28;2;0;1;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-27;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-10;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-09;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-08;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-07;0;1;0;1
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-06;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-05;0;1;0;1
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-04;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-03;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-02;1;0;1;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-01;0;1;0;1
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-30;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-29;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-28;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-27;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-05-10;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-05-09;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-05-08;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-05-07;0;1;0;1
Data_Science_Challenge_2020_Betrugserkennung;2026-05-06;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-05-05;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-05-04;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-05-03;0;1;0;1
Data_Science_Challenge_2020_Betrugserkennung;2026-05-02;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-05-01;1;1;1;1
Data_Science_Challenge_2020_Betrugserkennung;2026-04-30;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-04-29;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-04-28;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-04-27;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-05-10;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-05-09;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-05-08;0;0;0;0
