Repository;Datum;Views;Clones;Unique Views;Unique Clones
.github;2026-04-23;0;28;0;15
.github;2026-04-22;0;25;0;14
.github;2026-04-21;0;17;0;10
.github;2026-04-20;0;7;0;6
.github;2026-04-19;0;6;0;6
.github;2026-04-18;0;20;0;12
.github;2026-04-17;0;13;0;8
.github;2026-04-16;0;24;0;15
.github;2026-04-15;0;11;0;7
.github;2026-04-14;0;10;0;9
.github;2026-04-13;0;19;0;12
.github;2026-04-12;0;19;0;12
.github;2026-04-11;0;3;0;3
.github;2026-04-10;0;23;0;14
2024_CADS_Immersion_Best_Notebooks;2026-04-23;0;1;0;1
2024_CADS_Immersion_Best_Notebooks;2026-04-22;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-04-21;0;1;0;1
2024_CADS_Immersion_Best_Notebooks;2026-04-20;4;0;1;0
2024_CADS_Immersion_Best_Notebooks;2026-04-19;1;0;1;0
2024_CADS_Immersion_Best_Notebooks;2026-04-18;0;1;0;1
2024_CADS_Immersion_Best_Notebooks;2026-04-17;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-04-16;1;1;1;1
2024_CADS_Immersion_Best_Notebooks;2026-04-15;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-04-14;1;0;1;0
2024_CADS_Immersion_Best_Notebooks;2026-04-13;1;0;1;0
2024_CADS_Immersion_Best_Notebooks;2026-04-12;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-04-11;1;0;1;0
2024_CADS_Immersion_Best_Notebooks;2026-04-10;0;1;0;1
2025_CADS_Completion_Best_Notebooks;2026-04-23;0;1;0;1
2025_CADS_Completion_Best_Notebooks;2026-04-22;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-04-21;0;1;0;1
2025_CADS_Completion_Best_Notebooks;2026-04-20;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-04-19;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-04-18;0;2;0;2
2025_CADS_Completion_Best_Notebooks;2026-04-17;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-04-16;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-04-15;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-04-14;1;0;1;0
2025_CADS_Completion_Best_Notebooks;2026-04-13;0;2;0;2
2025_CADS_Completion_Best_Notebooks;2026-04-12;0;1;0;1
2025_CADS_Completion_Best_Notebooks;2026-04-11;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-04-10;4;2;2;2
2025_CADS_Immersion_Best_Notebooks;2026-04-23;0;1;0;1
2025_CADS_Immersion_Best_Notebooks;2026-04-22;0;0;0;0
2025_CADS_Immersion_Best_Notebooks;2026-04-21;0;1;0;1
2025_CADS_Immersion_Best_Notebooks;2026-04-20;20;0;3;0
2025_CADS_Immersion_Best_Notebooks;2026-04-19;8;0;3;0
2025_CADS_Immersion_Best_Notebooks;2026-04-18;24;2;4;2
2025_CADS_Immersion_Best_Notebooks;2026-04-17;4;0;1;0
2025_CADS_Immersion_Best_Notebooks;2026-04-16;4;0;2;0
2025_CADS_Immersion_Best_Notebooks;2026-04-15;1;1;1;1
2025_CADS_Immersion_Best_Notebooks;2026-04-14;11;0;5;0
2025_CADS_Immersion_Best_Notebooks;2026-04-13;14;0;5;0
2025_CADS_Immersion_Best_Notebooks;2026-04-12;26;1;5;1
2025_CADS_Immersion_Best_Notebooks;2026-04-11;27;0;6;0
2025_CADS_Immersion_Best_Notebooks;2026-04-10;35;1;5;1
2026_CADS_Completion_Best_Notebooks;2026-04-23;0;1;0;1
2026_CADS_Completion_Best_Notebooks;2026-04-22;0;0;0;0
2026_CADS_Completion_Best_Notebooks;2026-04-21;0;1;0;1
2026_CADS_Completion_Best_Notebooks;2026-04-20;2;1;1;1
2026_CADS_Completion_Best_Notebooks;2026-04-19;0;0;0;0
2026_CADS_Completion_Best_Notebooks;2026-04-18;0;2;0;2
2026_CADS_Completion_Best_Notebooks;2026-04-17;0;0;0;0
2026_CADS_Completion_Best_Notebooks;2026-04-16;0;0;0;0
2026_CADS_Completion_Best_Notebooks;2026-04-15;0;1;0;1
2026_CADS_Completion_Best_Notebooks;2026-04-14;7;0;2;0
2026_CADS_Completion_Best_Notebooks;2026-04-13;0;1;0;1
2026_CADS_Completion_Best_Notebooks;2026-04-12;0;1;0;1
2026_CADS_Completion_Best_Notebooks;2026-04-11;0;0;0;0
2026_CADS_Completion_Best_Notebooks;2026-04-10;0;1;0;1
ADS_Pool_Repository;2026-04-25;0;0;0;0
ADS_Pool_Repository;2026-04-24;0;0;0;0
ADS_Pool_Repository;2026-04-23;0;0;0;0
ADS_Pool_Repository;2026-04-22;0;0;0;0
ADS_Pool_Repository;2026-04-21;0;0;0;0
ADS_Pool_Repository;2026-04-20;0;0;0;0
ADS_Pool_Repository;2026-04-19;0;0;0;0
ADS_Pool_Repository;2026-04-18;0;0;0;0
ADS_Pool_Repository;2026-04-17;0;0;0;0
ADS_Pool_Repository;2026-04-16;0;0;0;0
ADS_Pool_Repository;2026-04-15;0;0;0;0
ADS_Pool_Repository;2026-04-14;0;0;0;0
ADS_Pool_Repository;2026-04-13;0;0;0;0
ADS_Pool_Repository;2026-04-12;0;0;0;0
ADS_Use_Cases;2026-04-23;0;1;0;1
ADS_Use_Cases;2026-04-22;0;0;0;0
ADS_Use_Cases;2026-04-21;0;1;0;1
ADS_Use_Cases;2026-04-20;1;0;1;0
ADS_Use_Cases;2026-04-19;0;0;0;0
ADS_Use_Cases;2026-04-18;0;1;0;1
ADS_Use_Cases;2026-04-17;0;0;0;0
ADS_Use_Cases;2026-04-16;0;0;0;0
ADS_Use_Cases;2026-04-15;0;1;0;1
ADS_Use_Cases;2026-04-14;0;0;0;0
ADS_Use_Cases;2026-04-13;0;0;0;0
ADS_Use_Cases;2026-04-12;0;0;0;0
ADS_Use_Cases;2026-04-11;0;1;0;1
ADS_Use_Cases;2026-04-10;0;1;0;1
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-23;0;1;0;1
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-22;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-21;0;1;0;1
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-20;1;0;1;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-19;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-18;1;1;1;1
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-17;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-16;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-15;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-14;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-13;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-12;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-11;0;1;0;1
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-04-10;1;1;1;1
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-23;1;1;1;1
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-22;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-21;1;1;1;1
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-20;1;0;1;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-19;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-18;0;1;0;1
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-17;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-16;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-15;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-14;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-13;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-12;0;1;0;1
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-11;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-04-10;0;1;0;1
Data_Science_Challenge_2020_Betrugserkennung;2026-04-23;0;1;0;1
Data_Science_Challenge_2020_Betrugserkennung;2026-04-22;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-04-21;0;1;0;1
Data_Science_Challenge_2020_Betrugserkennung;2026-04-20;1;0;1;0
Data_Science_Challenge_2020_Betrugserkennung;2026-04-19;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-04-18;0;1;0;1
Data_Science_Challenge_2020_Betrugserkennung;2026-04-17;0;1;0;1
Data_Science_Challenge_2020_Betrugserkennung;2026-04-16;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-04-15;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-04-14;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-04-13;1;0;1;0
Data_Science_Challenge_2020_Betrugserkennung;2026-04-12;0;1;0;1
Data_Science_Challenge_2020_Betrugserkennung;2026-04-11;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-04-10;0;2;0;2
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-23;0;1;0;1
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-22;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-21;1;1;1;1
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-20;1;1;1;1
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-19;7;0;1;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-18;0;1;0;1
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-17;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-16;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-15;3;1;1;1
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-14;7;0;2;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-13;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-12;0;2;0;2
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-11;0;0;0;0
Data_Science_Challenge_2022_Python-Notebook_zur_Erstellung_von_Schadenhaeufigkeitsmodellen;2026-04-10;1;1;1;1
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-04-23;0;1;0;1
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-04-22;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-04-21;0;1;0;1
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-04-20;0;0;0;0
Deriving-NHANES-data-set-CDC-for-mortality-analysis;2026-04-19;0;1;0;1
