Repository;Datum;Views;Clones;Unique Views;Unique Clones
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-06-06;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-06-05;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-06-04;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-06-03;0;1;0;1
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-06-02;1;0;1;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-06-01;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-31;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-30;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-29;0;0;0;0
Data-Science-Challenge2021_Explainable-Machine-Learning;2026-05-28;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-06-10;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-06-09;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-06-08;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-06-07;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-06-06;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-06-05;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-06-04;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-06-03;0;1;0;1
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-06-02;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-06-01;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-31;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-30;0;1;0;1
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-29;0;0;0;0
Data_Science_Challenge_2020_Berufsunfaehigkeit;2026-05-28;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-06-10;0;1;0;1
Data_Science_Challenge_2020_Betrugserkennung;2026-06-09;0;1;0;1
Data_Science_Challenge_2020_Betrugserkennung;2026-06-08;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-06-07;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-06-06;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-06-05;1;0;1;0
Data_Science_Challenge_2020_Betrugserkennung;2026-06-04;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-06-03;0;1;0;1
Data_Science_Challenge_2020_Betrugserkennung;2026-06-02;0;0;0;0
Data_Science_Challenge_2020_Betrugserkennung;2026-06-01;0;0;0;0
